# Easting, Northing
7399333,-5685742
7399325,-5685756
7399317,-5685769
7399312,-5685784
7399308,-5685799
7399303,-5685813
7399299,-5685828
7399294,-5685843
7399289,-5685858
7399285,-5685873
7399280,-5685888
7399276,-5685903
7399271,-5685918
7399266,-5685932
7399262,-5685947
7399257,-5685962
7399252,-5685977
7399248,-5685992
7399243,-5686007
7399239,-5686022
7399234,-5686036
7399229,-5686051
7399225,-5686066
7399220,-5686081
7399216,-5686096
7399211,-5686111
7399206,-5686126
7399202,-5686140
7399194,-5686154
7399186,-5686167
7399178,-5686180
7399170,-5686193
7399163,-5686206
7399155,-5686220
7399147,-5686233
7399139,-5686246
7399131,-5686259
7399123,-5686272
7399116,-5686286
7399108,-5686299
7399100,-5686312
7399092,-5686325
7399084,-5686338
7399076,-5686352
7399069,-5686365
7399061,-5686378
7399053,-5686391
7399045,-5686404
7399037,-5686418
7399029,-5686431
7399034,-5686446
7399039,-5686461
7399044,-5686475
7399049,-5686490
7399053,-5686505
7399058,-5686520
7399063,-5686535
7399068,-5686550
7399073,-5686565
7399077,-5686580
7399082,-5686595
7399087,-5686609
7399092,-5686624
7399097,-5686639
7399101,-5686654
7399106,-5686669
7399111,-5686684
7399116,-5686699
7399121,-5686714
7399125,-5686728
7399130,-5686743
7399116,-5686745
7399101,-5686747
7399087,-5686748
7399072,-5686750
7399057,-5686751
7399043,-5686753
7399028,-5686755
7399014,-5686756
7398999,-5686758
7398985,-5686760
7398970,-5686761
7398956,-5686763
7398941,-5686764
7398927,-5686766
7398912,-5686768
7398898,-5686769
7398883,-5686771
7398888,-5686785
7398893,-5686800
7398898,-5686814
7398904,-5686828
7398909,-5686842
7398914,-5686857
7398919,-5686871
7398924,-5686885
7398929,-5686899
7398934,-5686914
7398939,-5686928
7398944,-5686942
7398949,-5686957
7398955,-5686971
7398960,-5686985
7398965,-5686999
