 latitude, longitude
5.115351470057006367e+01,-8.512892003877580160e-01
5.115343687428364916e+01,-8.516056987249702726e-01
5.115335904798454436e+01,-8.519221970600793226e-01
5.115328122167274216e+01,-8.522386953930838338e-01
5.115320339534822836e+01,-8.525551937239836953e-01
5.115312556901101004e+01,-8.528716920527776857e-01
5.115304774266107302e+01,-8.531881903794651389e-01
5.115283646478929569e+01,-8.534679508779241530e-01
5.115262518688698634e+01,-8.537477113642932824e-01
5.115241390895413787e+01,-8.540274718385681973e-01
5.115220263099074316e+01,-8.543072323007450120e-01
5.115199135299678090e+01,-8.545869927508199515e-01
5.115205407276299354e+01,-8.549314574679470757e-01
5.115211679254039012e+01,-8.552759221834226322e-01
5.115217951232897065e+01,-8.556203868972455107e-01
5.115224223212873511e+01,-8.559648516094158222e-01
5.115230495193969062e+01,-8.563093163199319013e-01
5.115246677568894995e+01,-8.563053166163212548e-01
5.115262859943786111e+01,-8.563013169058348861e-01
5.115263162487375581e+01,-8.566110394276884588e-01
5.115263465031013368e+01,-8.569207619490372130e-01
5.115263767574700182e+01,-8.572304844698805937e-01
5.115264070118435313e+01,-8.575402069902186009e-01
5.115264372662218761e+01,-8.578499295100510125e-01
5.115264675206051237e+01,-8.581596520293774955e-01
5.115270774690109334e+01,-8.585127479251200011e-01
5.115276874175285826e+01,-8.588658438192281475e-01
5.115282973661582844e+01,-8.592189397117018235e-01
5.115289073148998966e+01,-8.595720356025401410e-01
5.115295172637535615e+01,-8.599251314917422118e-01
5.115266076399037587e+01,-8.599037039234870283e-01
5.115236980160864277e+01,-8.598822763329080354e-01
5.115207883923015686e+01,-8.598608487200054551e-01
5.115188874413038889e+01,-8.597320846112663784e-01
5.115169864904336094e+01,-8.596033204929143245e-01
5.115150855396906593e+01,-8.594745563649504039e-01
5.115147120108987622e+01,-8.598456331493373739e-01
5.115143384820346739e+01,-8.602167099326319954e-01
5.115139649530984656e+01,-8.605877867148341576e-01
5.115135914240900661e+01,-8.609588634959435272e-01
5.115132178950094755e+01,-8.613299402759592160e-01
5.115128443658566226e+01,-8.617010170548811132e-01
5.115124708366314366e+01,-8.620720938327082195e-01
5.115120973073339883e+01,-8.624431706094406458e-01
5.115117237779641357e+01,-8.628142473850776151e-01
5.115117868321375028e+01,-8.631548587135989825e-01
5.115118498863220253e+01,-8.634954700414968487e-01
5.115119129405177745e+01,-8.638360813687716577e-01
5.115119759947248212e+01,-8.641766926954229655e-01
5.115120390489430235e+01,-8.645173040214504390e-01
5.115121021031725235e+01,-8.648579153468537450e-01
5.115493005648912117e+01,-8.534847130491030054e-01
5.115484495768523487e+01,-8.537477774201001068e-01
5.115475985886978094e+01,-8.540108417888401249e-01
5.115467476004275227e+01,-8.542739061553221713e-01
5.115458966120415596e+01,-8.545369705195454690e-01
5.115458436589709379e+01,-8.549150018429151343e-01
5.115457907058900133e+01,-8.552930331655299589e-01
5.115457377527987148e+01,-8.556710644873898319e-01
5.115456847996969714e+01,-8.560490958084947533e-01
5.115456318465849250e+01,-8.564271271288433907e-01
5.115455788934625048e+01,-8.568051584484362992e-01
5.115455259403297106e+01,-8.571831897672730349e-01
