# Easting, Northing, M_plot
479670,140134,0
479664,140137,0
479658,140141,0
479652,140144,0
479646,140147,0
479640,140150,1
479639,140141,0
479639,140131,0
479638,140122,0
479638,140112,0
479637,140103,0
479636,140094,0
479636,140084,0
479635,140075,0
479634,140066,0
479634,140056,0
479633,140047,0
479633,140037,0
479632,140028,0
479631,140019,0
479631,140009,0
479630,140000,1
479624,140003,0
479618,140007,0
479613,140010,0
479607,140014,0
479601,140017,0
479595,140020,0
479589,140024,0
479584,140027,0
479578,140031,0
479572,140034,0
479566,140037,0
479560,140041,0
479555,140044,0
479549,140048,0
479543,140051,1
