
480436,139989
480414,139980
480392,139971
480370,139962
480348,139953
480326,139944
480304,139935
480285,139911
480266,139887
480246,139864
480227,139840
480208,139816
480184,139823
480160,139829
480135,139836
480111,139842
480087,139849
480087,139867
480087,139885
480065,139885
480044,139885
480022,139885
480000,139885
479979,139885
479957,139885
479932,139891
479907,139898
479883,139904
479858,139911
479833,139917
479835,139885
479837,139852
479839,139820
479848,139799
479858,139778
479867,139757
479841,139752
479815,139748
479789,139743
479763,139739
479738,139734
479712,139730
479686,139725
479660,139721
479634,139716
479610,139716
479586,139717
479563,139717
479539,139717
479515,139718
479491,139718
480280,140144
480262,140134
480244,140124
480225,140115
480207,140105
480181,140104
480154,140103
480128,140102
480101,140101
480075,140100
480048,140099
480022,140098
479997,140080
479971,140062
479946,140044
479920,140026
479895,140007
479870,139989
479844,139971
479819,139953
479793,139935
479768,139917
479744,139902
479721,139887
479697,139872
479673,139858
479649,139843
479626,139828
479602,139813
479585,139834
479568,139855
479551,139876
479534,139898
479517,139919
479500,139940
480143,140376
480129,140364
480115,140352
480100,140340
480086,140328
480067,140310
480048,140293
480029,140275
480010,140258
479987,140247
479963,140235
479940,140224
479916,140213
479893,140201
479869,140190
479851,140173
479832,140156
479814,140138
479796,140121
479777,140104
479759,140087
479735,140100
479711,140112
479688,140125
479664,140137
479640,140150
479638,140120
479636,140090
479634,140060
479632,140030
479630,140000
479608,140013
479587,140025
479565,140038
479543,140051
479522,140065
479501,140079
479480,140092
479458,140106
479437,140120
479416,140134
