# Easting, Northing, M_plot
479592,140059,0
479599,140060,0
479605,140061,0
479611,140062,0
479617,140063,0
479623,140064,0
479629,140065,0
479636,140066,0
479642,140067,0
479648,140068,0
479654,140070,0
479660,140071,0
479666,140072,0
479673,140073,0
479679,140074,0
479685,140075,0
479691,140076,0
479697,140077,0
479703,140078,0
479710,140079,0
479716,140080,0
479722,140081,0
479728,140082,0
479734,140083,0
479740,140084,0
479747,140085,0
479753,140086,0
479759,140087,1
479764,140092,0
479769,140097,0
479775,140102,0
479780,140107,0
479785,140112,0
479790,140116,0
479796,140121,0
479801,140126,0
479806,140131,0
479811,140136,0
479817,140141,0
479822,140146,0
479827,140151,0
479832,140156,0
479838,140161,0
479843,140165,0
479848,140170,0
479853,140175,0
479859,140180,0
479864,140185,0
479869,140190,1
479875,140193,0
479881,140196,0
479887,140198,0
479893,140201,0
479898,140204,0
479904,140207,0
479910,140210,0
479916,140213,0
479922,140215,0
479928,140218,0
479934,140221,0
479940,140224,0
479945,140227,0
479951,140230,0
479957,140232,0
479963,140235,0
479969,140238,0
479975,140241,0
479981,140244,0
479987,140247,0
479992,140249,0
479998,140252,0
480004,140255,0
480010,140258,1
480015,140263,0
480021,140268,0
480026,140273,0
480032,140278,0
480037,140283,0
480043,140288,0
480048,140293,0
480053,140298,0
480059,140303,0
480064,140308,0
480070,140313,0
480075,140318,0
480081,140323,0
480086,140328,1
480091,140322,0
480096,140316,0
480101,140310,0
480106,140305,0
480111,140299,0
480116,140293,0
480121,140287,0
480126,140281,0
480131,140275,0
480136,140269,0
480142,140264,0
480147,140258,0
480152,140252,0
480157,140246,0
480162,140240,0
480167,140234,0
480172,140228,0
480177,140223,0
480182,140217,0
480187,140211,0
480192,140205,1
480193,140196,0
480195,140187,0
480196,140178,0
480197,140169,0
480199,140160,0
480200,140150,0
480202,140141,0
480203,140132,0
480204,140123,0
480206,140114,0
480207,140105,1
480213,140103,0
480219,140100,0
480225,140098,0
480231,140096,0
480238,140093,0
480244,140091,0
480250,140089,0
480256,140086,0
480262,140084,0
480268,140082,0
480274,140079,0
480280,140077,0
480287,140075,0
480293,140073,0
480299,140070,0
480305,140068,0
480311,140066,0
480317,140063,0
480323,140061,0
480329,140059,0
480336,140056,0
480342,140054,0
480348,140052,0
480354,140049,0
480360,140047,1
